position_mm,potential_mv_at_reference_drive
1.003056919000003120e+02,-4.447887757327303460e-01
1.004759973000003157e+02,-6.931283772888042760e-01
1.006463027000003194e+02,-9.423086247314569341e-01
1.008166081000003089e+02,-1.192329518063389049e+00
1.009869135000003126e+02,-1.443269295394842944e+00
1.010954331000003066e+02,-1.604173404839126738e+00
1.011203000000003129e+02,-1.641075580392072908e+00
1.011223000000003083e+02,-1.644043555938108137e+00
1.011243000000003036e+02,-1.647011531484143143e+00
1.011491669000003100e+02,-1.683913707037089313e+00
1.012576865000003039e+02,-1.845853978167299791e+00
1.014279919000003076e+02,-2.101673580447426914e+00
1.015982973000002971e+02,-2.359709001643613746e+00
1.017686027000003008e+02,-2.619047689173298554e+00
1.019389081000003046e+02,-2.878719559936871786e+00
1.021092135000002941e+02,-3.140398175458662067e+00
1.022177331000003022e+02,-3.308144918797855549e+00
1.022426000000002944e+02,-3.346951992923755448e+00
1.022446000000003039e+02,-3.350073176032715594e+00
1.022466000000002992e+02,-3.353194359141653091e+00
1.022714669000002914e+02,-3.392001433267552990e+00
1.023799865000002995e+02,-3.561356204522299951e+00
1.025502919000002890e+02,-3.829795372511932250e+00
1.027205973000002928e+02,-4.099940646407604916e+00
1.028909027000002965e+02,-4.373048241387602175e+00
1.030612081000002860e+02,-4.648671112641323155e+00
1.032315135000002897e+02,-4.925046251989090074e+00
1.033400331000002836e+02,-5.101192643679869576e+00
1.033649000000002900e+02,-5.141555994701590748e+00
1.033669000000002853e+02,-5.144802346359547585e+00
1.033689000000002807e+02,-5.148048698017503533e+00
1.033937669000002870e+02,-5.188412049039225593e+00
1.035022865000002810e+02,-5.364774349686719290e+00
1.036725919000002847e+02,-5.641816288442006666e+00
1.038428973000002742e+02,-5.919828627704688095e+00
1.040132027000002779e+02,-6.200482628882864944e+00
1.041835081000002816e+02,-6.490017861785515763e+00
1.043538135000002711e+02,-6.781948395480362990e+00
1.044623331000002793e+02,-6.969102592660940232e+00
1.044872000000002714e+02,-7.012153159158927451e+00
1.044892000000002668e+02,-7.015615638719942204e+00
1.044912000000002763e+02,-7.019078118280981826e+00
1.045160669000002684e+02,-7.062128684778968157e+00
1.046245865000002766e+02,-7.250442405489541997e+00
1.047948919000002661e+02,-7.548331559862695883e+00
1.049651973000002698e+02,-7.847050484088271993e+00
1.051355027000002735e+02,-8.145030821352165162e+00
1.053058081000002630e+02,-8.442218104249750610e+00
1.054761135000002668e+02,-8.738458015205051055e+00
1.055846331000002607e+02,-8.926763621833162077e+00
1.056095000000002671e+02,-8.969836831284618839e+00
1.056115000000002624e+02,-8.973291194481660682e+00
1.056135000000002577e+02,-8.976745557678704301e+00
1.056383669000002641e+02,-9.019695209771084521e+00
1.057468865000002580e+02,-9.207128265970403902e+00
1.059171919000002617e+02,-9.500441927929037078e+00
1.060874973000002512e+02,-9.796700936859066289e+00
1.062578027000002550e+02,-1.009486862057565126e+01
1.064281081000002587e+02,-1.038894421161576176e+01
1.065984135000002482e+02,-1.067449654661039915e+01
1.067069331000002421e+02,-1.085305495692508870e+01
1.067318000000002485e+02,-1.089395946434678208e+01
1.067338000000002438e+02,-1.089724934023976211e+01
1.067358000000002534e+02,-1.090053921613276700e+01
1.067606669000002455e+02,-1.094144372355443728e+01
1.068691865000002537e+02,-1.111775370991563072e+01
1.070394919000002432e+02,-1.139123036623192142e+01
1.072097973000002469e+02,-1.166008447168822570e+01
1.073801027000002364e+02,-1.192129318301936536e+01
1.075504081000002401e+02,-1.216671732584011068e+01
1.077207135000002438e+02,-1.240084810746254362e+01
1.078292331000002378e+02,-1.254564667357687746e+01
1.078541000000002441e+02,-1.257759546747562140e+01
1.078561000000002394e+02,-1.258016505145260844e+01
1.078581000000002348e+02,-1.258273463542959369e+01
1.078829669000002411e+02,-1.261468342932833764e+01
1.079914865000002351e+02,-1.275410854200313793e+01
1.081617919000002388e+02,-1.296933214395196465e+01
1.083320973000002283e+02,-1.317005673565555846e+01
1.085024027000002320e+02,-1.335554858637246234e+01
1.086727081000002215e+02,-1.352580769608498734e+01
1.088430135000002252e+02,-1.368398658862060024e+01
1.089515331000002334e+02,-1.378193687866129835e+01
1.089764000000002255e+02,-1.380438185696394804e+01
1.089784000000002209e+02,-1.380618706616192526e+01
1.089804000000002304e+02,-1.380799227535991669e+01
1.090052669000002226e+02,-1.383040449060298016e+01
1.091137865000002307e+02,-1.392767972812306532e+01
1.092840919000002202e+02,-1.407504159932177856e+01
1.094543973000002239e+02,-1.419605537612949497e+01
1.096247027000002277e+02,-1.427016120650192121e+01
1.097950081000002172e+02,-1.433048608762887888e+01
1.099653135000002209e+02,-1.438431318253337032e+01
1.100738331000002148e+02,-1.441071437179007297e+01
1.100987000000002212e+02,-1.441592736440178868e+01
1.101007000000002165e+02,-1.441634663601278099e+01
1.101027000000002118e+02,-1.441676590762377508e+01
1.101275669000002182e+02,-1.442197890023549078e+01
1.102360865000002121e+02,-1.444092951455528784e+01
1.104063919000002159e+02,-1.445810293806248126e+01
1.105766973000002054e+02,-1.445989225609011442e+01
1.107470027000002091e+02,-1.444598642063828287e+01
1.109173081000002128e+02,-1.441293708012949182e+01
1.110876135000002023e+02,-1.435992367052525154e+01
1.111961331000001962e+02,-1.431866198293616321e+01
1.112210000000002026e+02,-1.430689313177450295e+01
1.112230000000001979e+02,-1.430591231601949076e+01
1.112250000000002075e+02,-1.430493150026447324e+01
1.112498669000001996e+02,-1.429273657661529739e+01
1.113583865000002078e+02,-1.423951770991138766e+01
1.115286919000001973e+02,-1.415741495645432479e+01
1.116989973000002010e+02,-1.406643780169246050e+01
1.118693027000001905e+02,-1.396122026571920571e+01
1.120396081000001942e+02,-1.384238998051324288e+01
1.122099135000001979e+02,-1.371413224272397002e+01
1.123184331000001919e+02,-1.362555333593551410e+01
1.123433000000001982e+02,-1.360525577846922651e+01
1.123453000000001936e+02,-1.360362328246319130e+01
1.123473000000001889e+02,-1.360199078645715609e+01
1.123721669000001953e+02,-1.358169322899086850e+01
1.124806865000001892e+02,-1.348722162250926537e+01
1.126509919000001929e+02,-1.333201862958374484e+01
1.128212973000001824e+02,-1.316716580116947455e+01
1.129916027000001861e+02,-1.299625044156099207e+01
1.131619081000001756e+02,-1.281874770252058404e+01
1.133322135000001794e+02,-1.263552408421230844e+01
1.134407331000001875e+02,-1.251608830478169310e+01
1.134656000000001796e+02,-1.248807284282369601e+01
1.134676000000001750e+02,-1.248581960965366378e+01
1.134696000000001845e+02,-1.248356637648361556e+01
1.134944669000001767e+02,-1.245555091452562024e+01
1.136029865000001848e+02,-1.233319458498915289e+01
1.137732919000001743e+02,-1.213583142297949458e+01
1.139435973000001781e+02,-1.193832273623229945e+01
1.141139027000001676e+02,-1.174110349657364338e+01
1.142842081000001713e+02,-1.154650929976874707e+01
1.144545135000001608e+02,-1.135426104270790937e+01
1.145630331000001689e+02,-1.123151874710906561e+01
1.145879000000001611e+02,-1.120339276442551579e+01
1.145899000000001706e+02,-1.120113064227247790e+01
1.145919000000001660e+02,-1.119886852011945599e+01
1.146167669000001723e+02,-1.117068786713932838e+01
1.147252865000001663e+02,-1.104759173161095021e+01
1.148955919000001700e+02,-1.085409893550832550e+01
1.150658973000001595e+02,-1.066025180972363451e+01
1.152362027000001632e+02,-1.046617267458954714e+01
1.154065081000001669e+02,-1.027203394804924663e+01
1.155768135000001564e+02,-1.008167091667443316e+01
1.156853331000001504e+02,-9.962761482833373705e+00
1.157102000000001567e+02,-9.935662659098328575e+00
1.157122000000001520e+02,-9.933483149490378139e+00
1.157142000000001616e+02,-9.931303639882411716e+00
1.157390669000001537e+02,-9.904204816147384349e+00
1.158475865000001619e+02,-9.787278419461399537e+00
1.160178919000001514e+02,-9.606960520720475571e+00
1.161881973000001551e+02,-9.430913200156535225e+00
1.163585027000001446e+02,-9.258230154489238473e+00
1.165288081000001483e+02,-9.089164919300516843e+00
1.166991135000001520e+02,-8.924483747191688465e+00
