"Distance [mm]","Voltage [V]"
38.4,50.0000142791587
38.6,50.0000144630577
38.8,50.0000146468347
39,50.0000148304897
39.2,50.0000150140226
39.4,50.0000151974335
39.6,50.0000153807222
39.8,50.000015563889
40,50.0000157469337
40.2,50.0000159298563
40.4,50.0000160059951
40.6,50.0000159049927
40.8,50.0000158350781
41,50.0000157962514
41.2,50.0000157885125
41.4,50.0000158118615
41.6,50.0000158662984
41.8,50.0000159518232
42,50.0000160684358
42.2,50.0000162161363
42.4,50.0000163949247
42.6,50.0000166048009
42.8,50.0000168457651
43,50.0000171178171
43.2,50.0000174209569
43.4,50.0000177551847
43.6,50.0000181205003
43.8,50.0000185169038
44,50.0000189443951
44.2,50.0000194029743
44.4,50.0000198926414
44.6,50.0000204133964
44.8,50.0000209652393
45,50.00002154817
45.2,50.0000221621885
45.4,50.000022807295
45.6,50.0000234834893
45.8,50.0000241907715
46,50.0000249291416
46.2,50.0000256985995
46.4,50.0000264991454
46.6,50.000027330779
46.8,50.0000281935006
47,50.0000290873101
47.2,50.0000300122074
47.4,50.0000309681925
47.6,50.0000319552656
47.8,50.0000329734265
48,50.0000340226753
48.2,50.000035103012
48.4,50.0000362144365
48.6,50.0000373569489
48.8,50.0000385305492
49,50.0000397352373
49.2,50.0000409710134
49.4,50.0000422378773
49.6,50.000043535829
49.8,50.0000448648687
50,50.0000462249962
50.2,50.0000476162116
50.4,50.0000490385148
50.6,50.000050491906
50.8,50.000051976385
51,50.0000534919518
51.2,50.0000550386066
51.4,50.0000566163492
51.6,50.0000582251797
51.8,50.000059865098
52,50.0000615361043
52.2,50.0000632381984
52.4,50.0000649713804
52.6,50.0000667356502
52.8,50.0000685310079
53,50.0000703574535
53.2,50.000072214987
53.4,50.0000741036083
53.6,50.0000760233175
53.8,50.0000779741146
54,50.0000799559996
54.2,50.0000819689724
54.4,50.0000840130331
54.6,50.0000860881817
54.8,50.0000881944181
55,50.0000903317424
55.2,50.0000925001546
55.4,50.0000946996547
55.6,50.0000969302426
55.8,50.0000991919184
56,50.000101484682
56.2,50.0001038085336
56.4,50.000106163473
56.6,50.0001085495003
56.8,50.0001109666155
57,50.0001134148185
57.2,50.0001158941094
57.4,50.0001184044882
57.6,50.0001209459548
57.8,50.0001235185094
58,50.0001261221518
58.2,50.000128756882
58.4,50.0001314227002
58.6,50.0001341196062
58.8,50.0001368476
59,50.0001396066818
59.2,50.0001423968514
59.4,50.0001452181089
