position_mm,potential_mv_at_reference_drive
4.470160810000072615e+01,3.532427327842698084e+00
4.487191350000072276e+01,3.532908415133796165e+00
4.498043310000072381e+01,3.533224712163429260e+00
4.500530000000072306e+01,3.533298014386924368e+00
4.500730000000072550e+01,3.533304154571960343e+00
4.500930000000072084e+01,3.533310294756996317e+00
4.503416690000072720e+01,3.533386638440632055e+00
4.514268650000072114e+01,3.533719803652646707e+00
4.531299190000071775e+01,3.534260220443728784e+00
4.548329730000072146e+01,3.534822493695435774e+00
4.565360270000072518e+01,3.535406623377678414e+00
4.582390810000072179e+01,3.536012609529249229e+00
4.599421350000071840e+01,3.536641351609320694e+00
4.610273310000071945e+01,3.537057958478424968e+00
4.612760000000071869e+01,3.537153628641479308e+00
4.612960000000072114e+01,3.537161323220462172e+00
4.613160000000071648e+01,3.537169017799445037e+00
4.615646690000072283e+01,3.537264687962499821e+00
4.626498650000071677e+01,3.537692295780666463e+00
4.643529190000072759e+01,3.538379467947794677e+00
4.660559730000072420e+01,3.539088496456026078e+00
4.677590270000072081e+01,3.539823127191099594e+00
4.694620810000071742e+01,3.540580484440318365e+00
4.711651350000072114e+01,3.541359698104210807e+00
4.722503310000072219e+01,3.541865436649568544e+00
4.724990000000072143e+01,3.541984298579091472e+00
4.725190000000072388e+01,3.541993858430100062e+00
4.725390000000071922e+01,3.542003418281108651e+00
4.727876690000072557e+01,3.542122280210631136e+00
4.738728650000071951e+01,3.542640995814386962e+00
4.755759190000073033e+01,3.543479539024089853e+00
4.772789730000072694e+01,3.544339938649127220e+00
4.789820270000072355e+01,3.545222194725697218e+00
4.806850810000072727e+01,3.546126307274892309e+00
4.823881350000073098e+01,3.547052276276028593e+00
4.834733310000073203e+01,3.547655332984464227e+00
4.837220000000072417e+01,3.547793521393405758e+00
4.837420000000072662e+01,3.547804635638361237e+00
4.837620000000072196e+01,3.547815749883316716e+00
4.840106690000073542e+01,3.547954104130700337e+00
4.850958650000072936e+01,3.548574029075493019e+00
4.867989190000073307e+01,3.549559327588656998e+00
4.885019730000072968e+01,3.550566482548050296e+00
4.902050270000073340e+01,3.551595493934065484e+00
4.919080810000073711e+01,3.552647790646244808e+00
4.936111350000073372e+01,3.553725130686101075e+00
4.946963310000073477e+01,3.554423352204154618e+00
4.949450000000073402e+01,3.554584732379564738e+00
4.949650000000073646e+01,3.554597711896545942e+00
4.949850000000073180e+01,3.554610691413527146e+00
4.952336690000073816e+01,3.554772071588936821e+00
4.963188650000073210e+01,3.555481294021950678e+00
4.980219190000073581e+01,3.556613347915495105e+00
4.997249730000073953e+01,3.557771533204019843e+00
5.014280270000074324e+01,3.558951915678086220e+00
5.031310810000073985e+01,3.560154154565478457e+00
5.048341350000073646e+01,3.561378249936503426e+00
5.059193310000073751e+01,3.562166857094510419e+00
5.061680000000074386e+01,3.562350175137856567e+00
5.061880000000074631e+01,3.562365019927858256e+00
5.062080000000074165e+01,3.562379864717859945e+00
5.064566690000074090e+01,3.562564436672106538e+00
5.075418650000073484e+01,3.563369912008640394e+00
5.092449190000074566e+01,3.564653336855145849e+00
5.109479730000074937e+01,3.565958618195272045e+00
5.126510270000074598e+01,3.567285756012829268e+00
5.143540810000074259e+01,3.568634750254423782e+00
5.160571350000074631e+01,3.570005600965801218e+00
5.171423310000074736e+01,3.570895417356894530e+00
5.173910000000074660e+01,3.571099315779075134e+00
5.174110000000074905e+01,3.571115714962100007e+00
5.174310000000075149e+01,3.571132114145124881e+00
5.176796690000075074e+01,3.571336012567305485e+00
5.187648650000075179e+01,3.572237718017138075e+00
5.204679190000075550e+01,3.573667898282584687e+00
5.221709730000075211e+01,3.575119934963003843e+00
5.238740270000074872e+01,3.576595786228634388e+00
5.255770810000075244e+01,3.578096151489837506e+00
