"Distance [mm]","Voltage [V]"
116.2,50.0424078090979
116.4,50.0424791752808
116.6,50.0425505579697
116.8,50.0426219758978
117,50.0426934477525
117.2,50.0427649379651
117.4,50.0428364465355
117.6,50.0429079734637
117.8,50.0429795187498
118,50.0430510823937
118.2,50.0431226643955
118.4,50.043194264755
118.6,50.0432658834724
118.8,50.0433375205477
119,50.0434091759808
119.2,50.0434808497717
119.4,50.0435525419204
119.6,50.043624252427
119.8,50.0436959812914
120,50.0437677285137
120.2,50.0438394940938
120.4,50.0439112780317
120.6,50.0439830803275
120.8,50.044054900981
121,50.0441267399925
121.2,50.0441985973617
121.4,50.0442704730888
121.6,50.0443423671737
121.8,50.0444142626787
122,50.0444862142703
122.2,50.0445582550025
122.4,50.0446303848753
122.6,50.0447026038888
122.8,50.0447749120429
123,50.0448473093376
123.2,50.044919795773
123.4,50.044992371349
123.6,50.0450650360656
123.8,50.0451377899229
124,50.0452106329208
124.2,50.0452835650593
124.4,50.0453565863385
124.6,50.0454296967583
124.8,50.0455028963187
125,50.0455761850197
125.2,50.0456495628614
125.4,50.0457230298437
125.6,50.0457965859667
125.8,50.0458700350728
126,50.0459434522068
126.2,50.0460169281983
126.4,50.0460904630473
126.6,50.0461640567539
126.8,50.0462377093179
127,50.0463114207394
127.2,50.0463851910184
127.4,50.046459020155
127.6,50.046532908149
127.8,50.0466068550005
128,50.0466808607095
128.2,50.0467549252761
128.4,50.0468290487001
128.6,50.0469032309816
128.8,50.0469774721207
129,50.0470517721172
129.2,50.0471261309712
129.4,50.0472005486827
129.6,50.0472750252517
129.8,50.0473495606783
130,50.0474241549623
130.2,50.0474988081038
130.4,50.0475735201029
130.6,50.0476482909594
130.8,50.0477231206734
131,50.0477980092449
131.2,50.0478729566739
131.4,50.0479479629605
131.6,50.0480230281045
131.8,50.048098152106
132,50.048173334965
132.2,50.0482485766816
132.4,50.0483238772556
132.6,50.0483992366871
132.8,50.0484746549761
133,50.0485501321227
133.2,50.0486256681267
133.4,50.0487012629882
133.6,50.0487769167073
133.8,50.0488526292838
134,50.0489284007178
134.2,50.0490042310093
134.4,50.0490801201584
134.6,50.0491560681649
134.8,50.0492320750289
135,50.0493081407504
135.2,50.0493842653295
135.4,50.049460448766
135.6,50.049536735739
135.8,50.0496136549733
136,50.0496904508891
136.2,50.0497671234863
136.4,50.049843672765
136.6,50.0499200987252
136.8,50.0499964013668
137,50.0500725806899
137.2,50.0501486366945
137.4,50.0502245693805
137.6,50.050300378748
137.8,50.0503760647969
138,50.0504516275273
138.2,50.0505270669392
138.4,50.0506023830325
138.6,50.0506775758073
138.8,50.0507526452636
139,50.0508275914013
139.2,50.0509024142205
139.4,50.0509771137211
139.6,50.0510516899032
139.8,50.0511261427668
140,50.0512004723118
140.2,50.0512746785384
140.4,50.0513487614463
140.6,50.0514227210357
140.8,50.0514965573066
141,50.051570600417
141.2,50.0516445868465
141.4,50.0517179520775
141.6,50.0517906961098
141.8,50.0518628189435
142,50.0519343205787
142.2,50.0520052010153
142.4,50.0520754602532
142.6,50.0521450982926
142.8,50.0522141151334
143,50.0522825107756
143.2,50.0523502852192
143.4,50.0524174384642
143.6,50.0524839705107
143.8,50.0525498813585
144,50.0526151710078
144.2,50.0526798394584
144.4,50.0527438867105
144.6,50.052807312764
144.8,50.0528701176189
145,50.0529323012751
145.2,50.0529938637329
145.4,50.053054804992
145.6,50.0531151250525
145.8,50.0531748239144
146,50.0532339015778
146.2,50.0532923580425
146.4,50.0533485845173
146.6,50.0534033632955
146.8,50.0534570185429
147,50.0535095502595
147.2,50.0535609584454
147.4,50.0536112431005
147.6,50.0536604042248
147.8,50.0537084418185
148,50.0537553558813
148.2,50.0538011464133
148.4,50.0538458134146
148.6,50.0538893568852
148.8,50.053931776825
149,50.053973073234
149.2,50.0540132461123
149.4,50.0540522954598
149.6,50.0540902212765
149.8,50.0541270235625
150,50.0541627023177
150.2,50.0541972575422
150.4,50.0542306892359
150.6,50.0542629973989
150.8,50.054294182031
151,50.0543242431325
151.2,50.0543531807031
151.4,50.054380994743
151.6,50.0544076852522
151.8,50.0544332522306
152,50.0544576956782
152.2,50.054481015595
152.4,50.0545040088506
152.6,50.0545251710503
152.8,50.0545452157092
153,50.0545642224033
153.2,50.0545821911326
153.4,50.0545991218972
153.6,50.054615014697
153.8,50.0546298695321
154,50.0546436864024
154.2,50.0546564653079
154.4,50.0546682062486
154.6,50.0546789092245
154.8,50.0546888165172
155,50.0546979601311
